id,amt_id,room_id,is_ready,last_active,timeout
103,A1ZZ7YO3YASNIP,49,f,2018-01-05 20:34:28.421256,t
66,A39Q4SNT7SRK94,32,f,2018-01-05 19:42:50.947343,t
70,A23OR0D1FCUVMM,34,f,2018-01-05 19:46:48.743663,f
46,A2KSAAQBU5R0F6,22,f,2018-01-05 19:34:01.538826,t
48,ACDX50KGPE97I,22,f,2018-01-05 19:34:01.578486,t
51,A6EJ7EU0KMGPL,26,f,2018-01-05 19:35:31.519073,f
78,AEO8NL8D28NQG,39,f,2018-01-05 20:31:39.583615,f
60,AFQKLIYNCVZTL,29,f,2018-01-05 19:38:16.77962,f
64,ACDX50KGPE97I,32,f,2018-01-05 19:42:51.384232,t
54,A15XX0WDRG29E7,29,f,2018-01-05 19:38:16.431598,t
92,A3C0LPVN749UF3,42,f,2018-01-05 20:32:23.911451,f
57,A2J9AHXZBB37XU,28,f,2018-01-05 19:36:15.500799,t
98,APYVY45NMS560,48,f,2018-01-05 20:34:15.573172,f
79,A1E94U14N16SYJ,43,f,2018-01-05 20:32:35.851194,f
108,A15781PHGW377Y,54,f,2018-01-05 20:42:26.041258,f
68,A34FOMRRI5KYCY,34,f,2018-01-05 19:46:48.557693,t
97,A39HQTITNY9TVJ,51,f,2018-01-05 20:35:53.64509,t
91,A3908297ZI3LES,44,f,2018-01-05 20:32:54.917387,t
100,A1MJVTR0PCKBWW,48,f,2018-01-05 20:34:12.971718,t
62,A15XX0WDRG29E7,31,f,2018-01-05 19:39:58.337108,t
114,AK467M5VTG7N4,59,f,2018-01-05 20:45:59.157924,t
124,A1H6IVAOAIOW9K,64,f,2018-01-05 20:54:30.77642,f
110,AY9ZVK32I1P1L,57,f,2018-01-05 20:43:11.700767,t
118,czd329,61,f,2018-01-05 20:49:28.168707,f
106,A2SS9IDO14UWU8,51,f,2018-01-05 20:35:52.689107,t
125,AUIFWSSGQ46KR,64,f,2018-01-05 20:54:30.492089,t
130,A3JP7DIFRS0ZBY,66,f,2018-01-05 21:27:46.993999,f
120,AY9ZVK32I1P1L,62,f,2018-01-05 20:51:57.152261,t
127,A2TH9DIRISH8FE,65,f,2018-01-05 21:13:05.788149,f
134,A10XW6SNPNQX16,68,f,2018-01-05 21:41:03.465872,t
146,A3D38UO96N9SB0,72,f,2018-01-05 22:57:43.314059,t
149,A3L2UB07EZJAMD,74,f,2018-01-05 22:58:12.404198,t
143,ATHS9CW2FLYUY,71,f,2018-01-05 22:57:39.539756,f
147,A1F1OZ54G177D8,75,f,2018-01-05 22:58:21.274239,t
158,A2CHKF2A6F4MIX,82,f,2018-01-05 23:00:07.846473,t
141,A1AQK667NBERJ1,72,f,2018-01-05 22:57:42.696114,t
150,A13BZCNJ0WR1T7,76,f,2018-01-05 22:58:25.456553,f
162,A3PDTUA1YLJTMC,79,f,2018-01-05 22:59:07.229819,f
153,A2LMQ4497NMK3S,77,f,2018-01-05 22:58:34.509973,f
155,A1BAPMRIU7SGSP,80,f,2018-01-05 22:59:24.910507,f
157,A3S5I1Q30NFPOP,81,f,2018-01-05 22:59:39.542531,f
136,A3MYTEE8WSEQ2Z,69,f,2018-01-05 22:57:19.237386,t
139,A8TIL9U6YHG5,74,f,2018-01-05 22:58:13.210548,t
164,A1MWBOD8SQ9P2Z,83,f,2018-01-05 23:00:49.776854,f
49,A3F7TD3W9043EO,25,f,2018-01-05 19:34:47.995412,t
107,A2B227N1NQYS56,53,f,2018-01-05 20:37:34.901569,f
