id,next_turn_uid,p1_uid,p2_uid,time_last_move,chosen_arm,trial,game,reward,next_game_bool,completion_code,p1_score,p1_is_observable,p1_scores_strs,p2_score,p2_is_observable,p2_scores_strs,score,scores_strs,experimental_condition
12,24,26,24,2018-01-05 13:44:32.509575,3,41,10,1,f,DnjDwkzz,15,t,"[17, 13, 27, 21, 29, 26, 27, 17, 21, 15]",4,f,"[6, 3, 10, 4, 6, 8, 6, 6, 9, 4]",15,"[17, 13, 27, 21, 29, 26, 27, 17, 21, 15]",partial
6,14,6,14,2018-01-05 13:45:17.96907,3,41,10,1,f,9QJNNnHs,30,t,"[21, 27, 35, 33, 28, 24, 28, 30, 21, 30]",11,f,"[10, 10, 14, 14, 6, 8, 9, 8, 8, 11]",30,"[21, 27, 35, 33, 28, 24, 28, 30, 21, 30]",partial
2,3,4,3,2018-01-05 13:19:23.396066,1,13,10,0,f,,8,t,"[25, 23, 32, 28, 27, 32, 20, 14, 24]",3,t,"[10, 10, 13, 10, 2, 11, 6, 9, 10]",8,"[25, 23, 32, 28, 27, 32, 20, 14, 24]",partial
10,20,21,20,2018-01-05 13:30:42.445041,1,2,5,0,f,,0,t,"[20, 23, 25, 28]",0,f,"[10, 5, 7, 12]",0,"[20, 23, 25, 28]",partial
3,9,9,7,2018-01-05 13:19:28.834241,3,41,10,1,f,cjq26Jzz,25,t,"[23, 21, 38, 31, 31, 31, 27, 25, 18, 25]",10,f,"[7, 8, 14, 11, 7, 8, 5, 9, 9, 10]",25,"[23, 21, 38, 31, 31, 31, 27, 25, 18, 25]",partial
4,11,11,8,2018-01-05 13:19:39.227127,3,41,10,1,f,SvGCIgyz,28,t,"[28, 22, 36, 31, 32, 29, 23, 22, 18, 28]",10,f,"[12, 7, 13, 14, 5, 8, 5, 6, 8, 10]",28,"[28, 22, 36, 31, 32, 29, 23, 22, 18, 28]",partial
1,5,5,2,2018-01-05 13:19:50.93244,2,41,10,0,f,T1WPgvRz,20,t,"[27, 23, 35, 33, 32, 31, 29, 31, 16, 20]",7,f,"[9, 7, 12, 12, 6, 8, 7, 11, 6, 7]",20,"[27, 23, 35, 33, 32, 31, 29, 31, 16, 20]",partial
36,72,72,73,2018-01-05 20:19:26.241491,-1,1,1,,,,0,,[],0,,[],0,[],partial
23,46,48,46,2018-01-05 19:34:11.000435,1,2,1,0,f,,0,t,[],0,f,[],0,[],partial
22,48,46,48,2018-01-05 19:34:11.469942,4,2,1,0,f,,0,t,[],0,f,[],0,[],partial
60,116,116,117,2018-01-05 20:49:12.15176,-1,1,1,,,,0,,[],0,,[],0,[],partial_asymmetric
54,109,108,109,2018-01-05 20:42:38.986922,3,2,1,1,f,,1,t,[],0,f,[],1,[],partial_asymmetric
53,105,107,105,2018-01-05 20:39:59.373038,1,2,2,1,f,,0,f,[17],0,f,[11],1,[25],partial_asymmetric
65,128,128,127,2018-01-05 21:14:16.865594,2,29,1,0,f,,9,f,[],4,f,[],12,[],partial_asymmetric
86,169,172,169,2018-01-05 23:05:10.614113,2,2,1,0,f,,0,t,[],0,t,[],0,[],control
55,111,112,111,2018-01-05 20:56:42.235252,3,41,10,1,f,9fkXYhDz,12,t,"[18, 14, 22, 15, 20, 17, 23, 11, 15, 12]",5,f,"[12, 7, 13, 9, 7, 4, 8, 8, 10, 5]",20,"[28, 21, 34, 24, 30, 26, 30, 22, 21, 20]",partial_asymmetric
64,124,125,124,2018-01-05 21:21:36.619782,4,41,10,0,f,OElR4Qqz,7,t,"[10, 10, 16, 18, 20, 15, 18, 15, 16, 7]",2,f,"[7, 6, 9, 8, 7, 9, 8, 9, 10, 2]",11,"[18, 18, 26, 23, 29, 23, 21, 25, 24, 11]",partial_asymmetric
67,131,131,132,2018-01-05 21:42:34.098736,3,41,10,1,f,9pLDkuts,12,t,"[19, 10, 20, 22, 21, 18, 19, 17, 11, 12]",4,f,"[13, 3, 10, 12, 8, 9, 6, 11, 8, 4]",16,"[30, 21, 31, 30, 31, 28, 29, 27, 17, 16]",partial_asymmetric
91,183,183,182,2018-01-05 23:24:50.556866,1,41,10,0,f,YQqSlHwz,12,t,"[35, 28, 38, 30, 32, 29, 23, 33, 17, 12]",12,t,"[35, 28, 38, 30, 32, 29, 23, 33, 17, 12]",12,"[35, 28, 38, 30, 32, 29, 23, 33, 17, 12]",control
87,173,173,176,2018-01-05 23:21:19.32863,3,41,10,1,f,DCdTxpuz,15,t,"[25, 18, 34, 25, 30, 28, 27, 32, 22, 15]",15,t,"[25, 18, 34, 25, 30, 28, 27, 32, 22, 15]",15,"[25, 18, 34, 25, 30, 28, 27, 32, 22, 15]",control
58,114,115,114,2018-01-05 20:46:11.696248,3,2,1,0,f,,0,t,[],0,f,[],0,[],partial_asymmetric
80,155,155,163,2018-01-05 23:13:00.023816,3,41,10,0,f,dEMMlmUs,24,t,"[29, 19, 26, 28, 30, 30, 29, 26, 24, 24]",24,t,"[29, 19, 26, 28, 30, 30, 29, 26, 24, 24]",24,"[29, 19, 26, 28, 30, 30, 29, 26, 24, 24]",control
84,167,167,168,2018-01-05 23:16:58.75073,3,41,10,1,f,6HCGKdnz,22,t,"[25, 23, 34, 29, 37, 31, 36, 34, 26, 22]",22,t,"[25, 23, 34, 29, 37, 31, 36, 34, 26, 22]",22,"[25, 23, 34, 29, 37, 31, 36, 34, 26, 22]",control
85,171,171,170,2018-01-05 23:14:39.065696,3,41,10,0,f,cDkNClgz,18,t,"[24, 20, 35, 30, 34, 30, 24, 30, 23, 18]",18,t,"[24, 20, 35, 30, 34, 30, 24, 30, 23, 18]",18,"[24, 20, 35, 30, 34, 30, 24, 30, 23, 18]",control
89,179,179,178,2018-01-05 23:22:17.871583,3,41,10,1,f,ocvRR98z,17,t,"[24, 23, 27, 26, 30, 29, 26, 21, 19, 17]",17,t,"[24, 23, 27, 26, 30, 29, 26, 21, 19, 17]",17,"[24, 23, 27, 26, 30, 29, 26, 21, 19, 17]",control
92,185,184,185,2018-01-05 23:32:22.07487,3,41,10,1,f,ohTTFVlz,17,t,"[22, 19, 26, 15, 32, 30, 27, 23, 19, 17]",17,t,"[22, 19, 26, 15, 32, 30, 27, 23, 19, 17]",17,"[22, 19, 26, 15, 32, 30, 27, 23, 19, 17]",control
37,74,74,77,2018-01-05 20:31:13.188942,-1,1,1,,,,0,,[],0,,[],0,[],partial_asymmetric
56,113,110,113,2018-01-05 20:43:21.223787,2,2,1,0,f,,0,t,[],0,f,[],0,[],partial_asymmetric
59,115,114,115,2018-01-05 20:46:57.567639,3,2,1,1,f,,1,t,[],0,f,[],1,[],partial_asymmetric
81,157,157,165,2018-01-05 23:12:58.586344,3,41,10,1,f,79SXDIgz,20,t,"[31, 25, 37, 24, 33, 23, 33, 22, 14, 20]",20,t,"[31, 25, 37, 24, 33, 23, 33, 22, 14, 20]",20,"[31, 25, 37, 24, 33, 23, 33, 22, 14, 20]",control
68,134,134,133,2018-01-05 22:11:34.197291,2,41,10,0,f,UHnIYVDs,13,t,"[9, 13, 20, 17, 23, 14, 20, 11, 15, 13]",5,f,"[5, 9, 10, 9, 7, 8, 9, 6, 10, 5]",19,"[19, 22, 35, 25, 32, 22, 27, 22, 23, 19]",partial_asymmetric
66,130,129,130,2018-01-05 21:37:33.675779,3,43,10,1,f,U2gGLIrs,14,t,"[9, 15, 17, 15, 23, 12, 21, 19, 14, 14]",8,f,"[5, 7, 9, 8, 8, 6, 9, 11, 7, 8]",24,"[18, 22, 27, 22, 33, 19, 32, 31, 21, 24]",partial_asymmetric
61,118,118,119,2018-01-05 20:59:41.968222,3,41,10,1,f,6yNKKFvz,14,t,"[16, 11, 19, 16, 25, 14, 10, 9, 14, 14]",9,f,"[11, 8, 12, 5, 6, 9, 5, 5, 7, 9]",22,"[29, 18, 31, 19, 35, 20, 17, 17, 20, 22]",partial_asymmetric
82,158,158,160,2018-01-05 23:29:55.977776,3,41,10,1,f,F2aQoSNs,22,t,"[19, 26, 32, 24, 33, 31, 26, 27, 18, 22]",22,t,"[19, 26, 32, 24, 33, 31, 26, 27, 18, 22]",22,"[19, 26, 32, 24, 33, 31, 26, 27, 18, 22]",control
