,room,game,condition,first_player,move,agreement
13,13,17,partial,1,13,1.0
14,13,17,partial,1,14,0.0
0,19,11,partial,1,0,0.25
1,19,11,partial,1,1,0.0
2,19,11,partial,1,2,0.0
3,19,11,partial,1,3,1.0
4,19,11,partial,1,4,0.0
5,19,11,partial,1,5,1.0
6,19,11,partial,1,6,1.0
7,19,11,partial,1,7,1.0
8,19,11,partial,1,8,1.0
9,19,11,partial,1,9,1.0
10,19,11,partial,1,10,1.0
11,19,11,partial,1,11,0.0
12,19,11,partial,1,12,0.0
13,19,11,partial,1,13,1.0
14,19,11,partial,1,14,1.0
0,13,8,partial,0,0,0.25
1,13,8,partial,0,1,0.3333333333333333
2,13,8,partial,0,2,0.5
3,13,8,partial,0,3,0.5
4,13,8,partial,0,4,1.0
5,13,8,partial,0,5,0.0
6,13,8,partial,0,6,1.0
7,13,8,partial,0,7,0.0
8,13,8,partial,0,8,0.0
9,13,8,partial,0,9,1.0
10,13,8,partial,0,10,0.0
11,13,8,partial,0,11,1.0
12,13,8,partial,0,12,0.0
13,13,8,partial,0,13,0.0
14,13,8,partial,0,14,0.3333333333333333
0,19,6,partial,0,0,0.25
1,19,6,partial,0,1,0.0
2,19,6,partial,0,2,0.0
3,19,6,partial,0,3,0.0
4,19,6,partial,0,4,0.0
5,19,6,partial,0,5,0.0
6,19,6,partial,0,6,0.0
7,19,6,partial,0,7,0.0
8,19,6,partial,0,8,0.0
9,19,6,partial,0,9,0.0
10,19,6,partial,0,10,0.0
11,19,6,partial,0,11,0.0
12,19,6,partial,0,12,0.0
13,19,6,partial,0,13,0.0
14,19,6,partial,0,14,0.0
0,19,0,partial,0,0,0.25
1,19,0,partial,0,1,0.0
2,19,0,partial,0,2,0.0
3,19,0,partial,0,3,0.0
4,19,0,partial,0,4,0.0
5,19,0,partial,0,5,0.0
6,19,0,partial,0,6,0.0
7,19,0,partial,0,7,0.0
8,19,0,partial,0,8,1.0
9,19,0,partial,0,9,0.0
10,19,0,partial,0,10,0.0
11,19,0,partial,0,11,1.0
12,19,0,partial,0,12,0.0
13,19,0,partial,0,13,0.0
14,19,0,partial,0,14,0.0
0,15,14,partial,0,0,0.25
1,15,14,partial,0,1,0.0
2,15,14,partial,0,2,0.5
3,15,14,partial,0,3,1.0
4,15,14,partial,0,4,1.0
5,15,14,partial,0,5,0.0
6,15,14,partial,0,6,1.0
7,15,14,partial,0,7,0.0
8,15,14,partial,0,8,1.0
9,15,14,partial,0,9,1.0
10,15,14,partial,0,10,1.0
11,15,14,partial,0,11,0.0
12,15,14,partial,0,12,0.0
13,15,14,partial,0,13,0.0
14,15,14,partial,0,14,1.0
0,15,10,partial,0,0,0.25
1,15,10,partial,0,1,0.3333333333333333
2,15,10,partial,0,2,0.5
3,15,10,partial,0,3,0.0
4,15,10,partial,0,4,0.5
5,15,10,partial,0,5,0.3333333333333333
6,15,10,partial,0,6,1.0
7,15,10,partial,0,7,0.5
8,15,10,partial,0,8,0.0
9,15,10,partial,0,9,1.0
10,15,10,partial,0,10,0.0
11,15,10,partial,0,11,1.0
12,15,10,partial,0,12,0.0
13,15,10,partial,0,13,0.0
14,15,10,partial,0,14,1.0
0,13,12,partial,0,0,0.25
1,13,12,partial,0,1,1.0
2,13,12,partial,0,2,0.0
3,13,12,partial,0,3,0.3333333333333333
4,13,12,partial,0,4,0.0
5,13,12,partial,0,5,0.0
6,13,12,partial,0,6,0.5
7,13,12,partial,0,7,0.0
8,13,12,partial,0,8,1.0
9,13,12,partial,0,9,0.0
10,13,12,partial,0,10,0.0
11,13,12,partial,0,11,0.0
12,13,12,partial,0,12,0.0
13,13,12,partial,0,13,0.0
14,13,12,partial,0,14,0.0
0,15,18,partial,0,0,0.25
1,15,18,partial,0,1,0.3333333333333333
2,15,18,partial,0,2,1.0
3,15,18,partial,0,3,0.5
4,15,18,partial,0,4,1.0
5,15,18,partial,0,5,0.0
6,15,18,partial,0,6,1.0
7,15,18,partial,0,7,0.0
8,15,18,partial,0,8,0.0
9,15,18,partial,0,9,0.0
10,15,18,partial,0,10,0.0
11,15,18,partial,0,11,0.0
12,15,18,partial,0,12,1.0
13,15,18,partial,0,13,1.0
14,15,18,partial,0,14,1.0
0,13,7,partial,1,0,0.25
1,13,7,partial,1,1,0.3333333333333333
2,13,7,partial,1,2,0.5
3,13,7,partial,1,3,1.0
4,13,7,partial,1,4,0.3333333333333333
5,13,7,partial,1,5,1.0
6,13,7,partial,1,6,0.0
7,13,7,partial,1,7,1.0
