room,game,move,condition,player,chosen_arm,arm,value
13,1,33,partial,1,2,0,0.8
13,1,33,partial,1,2,1,0.4
13,1,33,partial,1,2,2,0.0
13,1,33,partial,1,2,3,0.0
13,1,34,partial,0,1,0,0.75
13,1,34,partial,0,1,1,0.363636363636
13,1,34,partial,0,1,2,0.5
13,1,34,partial,0,1,3,0.0
13,1,35,partial,1,1,0,0.8
13,1,35,partial,1,1,1,0.333333333333
13,1,35,partial,1,1,2,0.0
13,1,35,partial,1,1,3,0.0
13,1,36,partial,0,1,0,0.772727272727
13,1,36,partial,0,1,1,0.363636363636
13,1,36,partial,0,1,2,0.5
13,1,36,partial,0,1,3,0.0
13,1,37,partial,1,1,0,0.666666666667
13,1,37,partial,1,1,1,0.333333333333
13,1,37,partial,1,1,2,0.0
13,1,37,partial,1,1,3,0.0
13,1,38,partial,0,1,0,0.75
13,1,38,partial,0,1,1,0.363636363636
13,1,38,partial,0,1,2,0.5
13,1,38,partial,0,1,3,0.0
13,1,39,partial,1,1,0,0.714285714286
13,1,39,partial,1,1,1,0.333333333333
13,1,39,partial,1,1,2,0.0
13,1,39,partial,1,1,3,0.0
13,2,0,partial,0,3,0,0.0
13,2,0,partial,0,3,1,0.0
13,2,0,partial,0,3,2,0.0
13,2,0,partial,0,3,3,0.0
13,2,1,partial,1,1,0,0.0
13,2,1,partial,1,1,1,0.0
13,2,1,partial,1,1,2,0.0
13,2,1,partial,1,1,3,0.0
13,2,2,partial,0,1,0,1.0
13,2,2,partial,0,1,1,0.0
13,2,2,partial,0,1,2,1.0
13,2,2,partial,0,1,3,0.0
13,2,3,partial,1,1,0,1.0
13,2,3,partial,1,1,1,0.0
13,2,3,partial,1,1,2,0.0
13,2,3,partial,1,1,3,0.0
13,2,4,partial,0,1,0,0.666666666667
13,2,4,partial,0,1,1,0.0
13,2,4,partial,0,1,2,1.0
13,2,4,partial,0,1,3,0.0
13,2,5,partial,1,1,0,0.5
13,2,5,partial,1,1,1,0.0
13,2,5,partial,1,1,2,0.0
13,2,5,partial,1,1,3,0.0
13,2,6,partial,0,1,0,0.6
13,2,6,partial,0,1,1,0.0
13,2,6,partial,0,1,2,1.0
13,2,6,partial,0,1,3,0.0
13,2,7,partial,1,2,0,0.5
13,2,7,partial,1,2,1,0.0
13,2,7,partial,1,2,2,0.0
13,2,7,partial,1,2,3,0.0
13,2,8,partial,0,1,0,0.5
13,2,8,partial,0,1,1,1.0
13,2,8,partial,0,1,2,1.0
13,2,8,partial,0,1,3,0.0
13,2,9,partial,1,2,0,0.5
13,2,9,partial,1,2,1,0.0
13,2,9,partial,1,2,2,0.0
13,2,9,partial,1,2,3,0.0
13,2,10,partial,0,1,0,0.428571428571
13,2,10,partial,0,1,1,1.0
13,2,10,partial,0,1,2,1.0
13,2,10,partial,0,1,3,0.0
13,2,11,partial,1,1,0,0.5
13,2,11,partial,1,1,1,0.0
13,2,11,partial,1,1,2,0.0
13,2,11,partial,1,1,3,0.0
13,2,12,partial,0,1,0,0.555555555556
13,2,12,partial,0,1,1,1.0
13,2,12,partial,0,1,2,1.0
13,2,12,partial,0,1,3,0.0
13,2,13,partial,1,1,0,0.5
13,2,13,partial,1,1,1,0.0
13,2,13,partial,1,1,2,0.0
13,2,13,partial,1,1,3,0.0
13,2,14,partial,0,2,0,0.454545454545
13,2,14,partial,0,2,1,1.0
13,2,14,partial,0,2,2,1.0
13,2,14,partial,0,2,3,0.0
13,2,15,partial,1,1,0,0.5
13,2,15,partial,1,1,1,1.0
13,2,15,partial,1,1,2,0.0
13,2,15,partial,1,1,3,0.0
13,2,16,partial,0,2,0,0.5
13,2,16,partial,0,2,1,1.0
13,2,16,partial,0,2,2,1.0
13,2,16,partial,0,2,3,0.0
13,2,17,partial,1,2,0,0.666666666667
13,2,17,partial,1,2,1,1.0
13,2,17,partial,1,2,2,0.0
13,2,17,partial,1,2,3,0.0
13,2,18,partial,0,1,0,0.5
13,2,18,partial,0,1,1,1.0
13,2,18,partial,0,1,2,1.0
13,2,18,partial,0,1,3,0.0
13,2,19,partial,1,1,0,0.666666666667
13,2,19,partial,1,1,1,1.0
13,2,19,partial,1,1,2,0.0
13,2,19,partial,1,1,3,0.0
13,2,20,partial,0,3,0,0.5
13,2,20,partial,0,3,1,1.0
13,2,20,partial,0,3,2,1.0
13,2,20,partial,0,3,3,0.0
13,2,21,partial,1,2,0,0.666666666667
13,2,21,partial,1,2,1,1.0
13,2,21,partial,1,2,2,0.0
13,2,21,partial,1,2,3,0.0
13,2,22,partial,0,2,0,0.5
13,2,22,partial,0,2,1,1.0
13,2,22,partial,0,2,2,0.5
13,2,22,partial,0,2,3,0.0
13,2,23,partial,1,2,0,0.666666666667
13,2,23,partial,1,2,1,1.0
13,2,23,partial,1,2,2,0.0
13,2,23,partial,1,2,3,0.0
13,2,24,partial,0,1,0,0.5
13,2,24,partial,0,1,1,0.875
13,2,24,partial,0,1,2,0.5
13,2,24,partial,0,1,3,0.0
13,2,25,partial,1,1,0,0.666666666667
13,2,25,partial,1,1,1,1.0
13,2,25,partial,1,1,2,0.0
13,2,25,partial,1,1,3,0.0
13,2,26,partial,0,1,0,0.4375
13,2,26,partial,0,1,1,0.875
13,2,26,partial,0,1,2,0.5
13,2,26,partial,0,1,3,0.0
13,2,27,partial,1,1,0,0.666666666667
13,2,27,partial,1,1,1,1.0
13,2,27,partial,1,1,2,0.0
13,2,27,partial,1,1,3,0.0
13,2,28,partial,0,1,0,0.444444444444
13,2,28,partial,0,1,1,0.875
13,2,28,partial,0,1,2,0.5
13,2,28,partial,0,1,3,0.0
13,2,29,partial,1,1,0,0.666666666667
13,2,29,partial,1,1,1,1.0
13,2,29,partial,1,1,2,0.0
13,2,29,partial,1,1,3,0.0
13,2,30,partial,0,1,0,0.45
13,2,30,partial,0,1,1,0.875
13,2,30,partial,0,1,2,0.5
13,2,30,partial,0,1,3,0.0
13,2,31,partial,1,2,0,0.6
13,2,31,partial,1,2,1,1.0
13,2,31,partial,1,2,2,0.0
13,2,31,partial,1,2,3,0.0
13,2,32,partial,0,1,0,0.47619047619
13,2,32,partial,0,1,1,0.888888888889
13,2,32,partial,0,1,2,0.5
13,2,32,partial,0,1,3,0.0
13,2,33,partial,1,2,0,0.666666666667
13,2,33,partial,1,2,1,1.0
13,2,33,partial,1,2,2,0.0
13,2,33,partial,1,2,3,0.0
13,2,34,partial,0,1,0,0.5
13,2,34,partial,0,1,1,0.9
13,2,34,partial,0,1,2,0.5
13,2,34,partial,0,1,3,0.0
13,2,35,partial,1,2,0,0.571428571429
13,2,35,partial,1,2,1,1.0
13,2,35,partial,1,2,2,0.0
13,2,35,partial,1,2,3,0.0
13,2,36,partial,0,1,0,0.478260869565
13,2,36,partial,0,1,1,0.818181818182
13,2,36,partial,0,1,2,0.5
13,2,36,partial,0,1,3,0.0
13,2,37,partial,1,1,0,0.571428571429
13,2,37,partial,1,1,1,0.75
13,2,37,partial,1,1,2,0.0
13,2,37,partial,1,1,3,0.0
13,2,38,partial,0,1,0,0.44
13,2,38,partial,0,1,1,0.818181818182
13,2,38,partial,0,1,2,0.5
13,2,38,partial,0,1,3,0.0
13,2,39,partial,1,2,0,0.444444444444
13,2,39,partial,1,2,1,0.75
13,2,39,partial,1,2,2,0.0
13,2,39,partial,1,2,3,0.0
13,3,0,partial,0,3,0,0.0
13,3,0,partial,0,3,1,0.0
13,3,0,partial,0,3,2,0.0
13,3,0,partial,0,3,3,0.0
13,3,1,partial,1,3,0,0.0
13,3,1,partial,1,3,1,0.0
13,3,1,partial,1,3,2,0.0
13,3,1,partial,1,3,3,0.0
13,3,2,partial,0,1,0,0.0
13,3,2,partial,0,1,1,0.0
13,3,2,partial,0,1,2,0.5
13,3,2,partial,0,1,3,0.0
13,3,3,partial,1,1,0,0.0
13,3,3,partial,1,1,1,0.0
13,3,3,partial,1,1,2,0.0
13,3,3,partial,1,1,3,0.0
13,3,4,partial,0,1,0,1.0
13,3,4,partial,0,1,1,0.0
13,3,4,partial,0,1,2,0.5
13,3,4,partial,0,1,3,0.0
13,3,5,partial,1,1,0,1.0
13,3,5,partial,1,1,1,0.0
13,3,5,partial,1,1,2,0.0
13,3,5,partial,1,1,3,0.0
13,3,6,partial,0,1,0,1.0
13,3,6,partial,0,1,1,0.0
13,3,6,partial,0,1,2,0.5
13,3,6,partial,0,1,3,0.0
13,3,7,partial,1,1,0,1.0
13,3,7,partial,1,1,1,0.0
13,3,7,partial,1,1,2,0.0
13,3,7,partial,1,1,3,0.0
13,3,8,partial,0,1,0,1.0
13,3,8,partial,0,1,1,0.0
13,3,8,partial,0,1,2,0.5
13,3,8,partial,0,1,3,0.0
13,3,9,partial,1,1,0,1.0
13,3,9,partial,1,1,1,0.0
13,3,9,partial,1,1,2,0.0
13,3,9,partial,1,1,3,0.0
13,3,10,partial,0,2,0,1.0
13,3,10,partial,0,2,1,0.0
13,3,10,partial,0,2,2,0.5
13,3,10,partial,0,2,3,0.0
13,3,11,partial,1,2,0,1.0
13,3,11,partial,1,2,1,0.0
13,3,11,partial,1,2,2,0.0
13,3,11,partial,1,2,3,0.0
13,3,12,partial,0,1,0,1.0
13,3,12,partial,0,1,1,0.5
13,3,12,partial,0,1,2,0.5
13,3,12,partial,0,1,3,0.0
13,3,13,partial,1,1,0,0.8
13,3,13,partial,1,1,1,0.0
13,3,13,partial,1,1,2,0.0
13,3,13,partial,1,1,3,0.0
13,3,14,partial,0,1,0,0.9
13,3,14,partial,0,1,1,0.5
13,3,14,partial,0,1,2,0.5
13,3,14,partial,0,1,3,0.0
13,3,15,partial,1,1,0,0.857142857143
13,3,15,partial,1,1,1,0.0
13,3,15,partial,1,1,2,0.0
13,3,15,partial,1,1,3,0.0
13,3,16,partial,0,1,0,0.916666666667
13,3,16,partial,0,1,1,0.5
13,3,16,partial,0,1,2,0.5
13,3,16,partial,0,1,3,0.0
13,3,17,partial,1,1,0,0.875
13,3,17,partial,1,1,1,0.0
13,3,17,partial,1,1,2,0.0
13,3,17,partial,1,1,3,0.0
13,3,18,partial,0,1,0,0.928571428571
13,3,18,partial,0,1,1,0.5
13,3,18,partial,0,1,2,0.5
13,3,18,partial,0,1,3,0.0
13,3,19,partial,1,1,0,0.888888888889
13,3,19,partial,1,1,1,0.0
13,3,19,partial,1,1,2,0.0
13,3,19,partial,1,1,3,0.0
13,3,20,partial,0,1,0,0.9375
13,3,20,partial,0,1,1,0.5
13,3,20,partial,0,1,2,0.5
13,3,20,partial,0,1,3,0.0
13,3,21,partial,1,1,0,0.888888888889
13,3,21,partial,1,1,1,0.0
13,3,21,partial,1,1,2,0.0
13,3,21,partial,1,1,3,0.0
13,3,22,partial,0,1,0,0.944444444444
13,3,22,partial,0,1,1,0.5
13,3,22,partial,0,1,2,0.5
13,3,22,partial,0,1,3,0.0
13,3,23,partial,1,1,0,0.9
13,3,23,partial,1,1,1,0.0
13,3,23,partial,1,1,2,0.0
13,3,23,partial,1,1,3,0.0
13,3,24,partial,0,1,0,0.9
13,3,24,partial,0,1,1,0.5
13,3,24,partial,0,1,2,0.5
13,3,24,partial,0,1,3,0.0
13,3,25,partial,1,1,0,0.9
13,3,25,partial,1,1,1,0.0
13,3,25,partial,1,1,2,0.0
13,3,25,partial,1,1,3,0.0
13,3,26,partial,0,1,0,0.909090909091
13,3,26,partial,0,1,1,0.5
13,3,26,partial,0,1,2,0.5
13,3,26,partial,0,1,3,0.0
13,3,27,partial,1,1,0,0.833333333333
13,3,27,partial,1,1,1,0.0
13,3,27,partial,1,1,2,0.0
