,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
2,3.0,1.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,3,control,0,34,0,91
3,4.0,1.0,0.5,0.8787878787878788,0.8787878787878788,3,control,0,34,0,91
0,1.0,1.0,0.5,0.8823529411764706,0.8823529411764706,3,control,0,35,1,91
1,2.0,1.0,0.3333333333333333,0.8823529411764705,0.8823529411764705,3,control,0,35,1,91
2,3.0,1.0,0.8823529411764706,0.8823529411764705,0.8823529411764705,3,control,0,35,1,91
3,4.0,1.0,0.5,0.8823529411764706,0.8823529411764706,3,control,0,35,1,91
0,1.0,1.0,0.5,0.8857142857142857,0.8857142857142857,3,control,0,36,0,91
1,2.0,1.0,0.3333333333333333,0.8857142857142856,0.8857142857142856,3,control,0,36,0,91
2,3.0,1.0,0.8857142857142857,0.8857142857142856,0.8857142857142856,3,control,0,36,0,91
3,4.0,1.0,0.5,0.8857142857142857,0.8857142857142857,3,control,0,36,0,91
0,1.0,1.0,0.5,0.8888888888888888,0.8888888888888888,3,control,0,37,1,91
1,2.0,1.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,3,control,0,37,1,91
2,3.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,3,control,0,37,1,91
3,4.0,1.0,0.5,0.8888888888888888,0.8888888888888888,3,control,0,37,1,91
0,1.0,1.0,0.5,0.8918918918918919,0.8918918918918919,3,control,0,38,0,91
1,2.0,1.0,0.3333333333333333,0.8918918918918918,0.8918918918918918,3,control,0,38,0,91
2,3.0,1.0,0.8918918918918919,0.8918918918918919,0.8918918918918919,3,control,0,38,0,91
3,4.0,1.0,0.5,0.8918918918918919,0.8918918918918919,3,control,0,38,0,91
0,1.0,1.0,0.5,0.8947368421052632,0.8947368421052632,3,control,0,39,1,91
1,2.0,1.0,0.3333333333333333,0.894736842105263,0.894736842105263,3,control,0,39,1,91
2,3.0,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,3,control,0,39,1,91
3,4.0,1.0,0.5,0.8947368421052632,0.8947368421052632,3,control,0,39,1,91
,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,91
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,91
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,91
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,91
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,3,control,1,1,1,91
1,2.0,1.0,0.3333333333333333,0.5,0.5,3,control,1,1,1,91
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,3,control,1,1,1,91
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,3,control,1,1,1,91
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,1,2,0,91
1,2.0,1.0,0.3333333333333333,0.5,0.5,1,control,1,2,0,91
2,3.0,1.0,0.3333333333333333,0.5,0.5,1,control,1,2,0,91
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,1,2,0,91
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,control,1,3,1,91
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,4,control,1,3,1,91
2,3.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,4,control,1,3,1,91
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,4,control,1,3,1,91
0,1.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,1,control,1,4,0,91
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,4,0,91
2,3.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,4,0,91
3,4.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,1,control,1,4,0,91
0,1.0,1.0,0.75,0.7666666666666667,0.7666666666666667,4,control,1,5,1,91
1,2.0,1.0,0.3333333333333333,0.75,0.75,4,control,1,5,1,91
2,3.0,1.0,0.3333333333333333,0.75,0.75,4,control,1,5,1,91
3,4.0,1.0,0.6666666666666666,0.75,0.75,4,control,1,5,1,91
0,1.0,1.0,0.75,0.7500000000000001,0.7500000000000001,1,control,1,6,0,91
1,2.0,1.0,0.3333333333333333,0.75,0.75,1,control,1,6,0,91
2,3.0,1.0,0.3333333333333333,0.75,0.75,1,control,1,6,0,91
3,4.0,1.0,0.5,0.75,0.75,1,control,1,6,0,91
0,1.0,1.0,0.8,0.8,0.8,1,control,1,7,1,91
1,2.0,1.0,0.3333333333333333,0.8,0.8,1,control,1,7,1,91
2,3.0,1.0,0.3333333333333333,0.8,0.8,1,control,1,7,1,91
3,4.0,1.0,0.5,0.8,0.8,1,control,1,7,1,91
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,control,1,8,0,91
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,8,0,91
2,3.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,8,0,91
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1,control,1,8,0,91
0,1.0,1.0,0.7142857142857143,0.7142857142857142,0.7142857142857142,2,control,1,9,1,91
1,2.0,1.0,0.3333333333333333,0.7142857142857142,0.7142857142857142,2,control,1,9,1,91
2,3.0,1.0,0.3333333333333333,0.7142857142857142,0.7142857142857142,2,control,1,9,1,91
3,4.0,1.0,0.5,0.7142857142857143,0.7142857142857143,2,control,1,9,1,91
0,1.0,1.0,0.7142857142857143,0.7142857142857142,0.7142857142857142,1,control,1,10,0,91
1,2.0,1.0,0.25,0.7142857142857143,0.7142857142857143,1,control,1,10,0,91
2,3.0,1.0,0.3333333333333333,0.7142857142857142,0.7142857142857142,1,control,1,10,0,91
3,4.0,1.0,0.5,0.7142857142857143,0.7142857142857143,1,control,1,10,0,91
0,1.0,1.0,0.625,0.625,0.625,1,control,1,11,1,91
1,2.0,1.0,0.25,0.625,0.625,1,control,1,11,1,91
2,3.0,1.0,0.3333333333333333,0.625,0.625,1,control,1,11,1,91
3,4.0,1.0,0.5,0.625,0.625,1,control,1,11,1,91
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,control,1,12,0,91
1,2.0,1.0,0.25,0.6666666666666666,0.6666666666666666,1,control,1,12,0,91
2,3.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,12,0,91
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1,control,1,12,0,91
0,1.0,1.0,0.6,0.6,0.6,1,control,1,13,1,91
1,2.0,1.0,0.25,0.6,0.6,1,control,1,13,1,91
2,3.0,1.0,0.3333333333333333,0.6,0.6,1,control,1,13,1,91
3,4.0,1.0,0.5,0.6,0.6,1,control,1,13,1,91
0,1.0,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,1,control,1,14,0,91
1,2.0,1.0,0.25,0.6363636363636364,0.6363636363636364,1,control,1,14,0,91
