,arm,p,reward,exploit0,exploit1,room,game,move,condition,player,chosen_arm
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,3,0,control,1,1
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,3,1,control,0,1
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,3,1,control,0,1
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,3,1,control,0,1
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,3,1,control,0,1
0,1.0,1.0,0.75,0.7500000000000001,0.7500000000000001,17,3,2,control,1,1
1,2.0,1.0,0.5,0.75,0.75,17,3,2,control,1,1
2,3.0,1.0,0.5,0.75,0.75,17,3,2,control,1,1
3,4.0,1.0,0.5,0.75,0.75,17,3,2,control,1,1
0,1.0,1.0,0.6,0.6,0.6,17,3,3,control,0,2
1,2.0,1.0,0.5,0.6333333333333333,0.6333333333333333,17,3,3,control,0,2
2,3.0,1.0,0.5,0.6333333333333333,0.6333333333333333,17,3,3,control,0,2
3,4.0,1.0,0.5,0.6333333333333333,0.6333333333333333,17,3,3,control,0,2
0,1.0,1.0,0.6,0.6,0.6,17,3,4,control,1,3
1,2.0,1.0,0.3333333333333333,0.6,0.6,17,3,4,control,1,3
2,3.0,1.0,0.5,0.6333333333333333,0.6333333333333333,17,3,4,control,1,3
3,4.0,1.0,0.5,0.6333333333333333,0.6333333333333333,17,3,4,control,1,3
0,1.0,1.0,0.6,0.6,0.6,17,3,5,control,0,3
1,2.0,1.0,0.3333333333333333,0.6,0.6,17,3,5,control,0,3
2,3.0,1.0,0.3333333333333333,0.6,0.6,17,3,5,control,0,3
3,4.0,1.0,0.5,0.6333333333333333,0.6333333333333333,17,3,5,control,0,3
0,1.0,1.0,0.6,0.6,0.6,17,3,6,control,1,4
1,2.0,1.0,0.3333333333333333,0.6,0.6,17,3,6,control,1,4
2,3.0,1.0,0.5,0.6,0.6,17,3,6,control,1,4
3,4.0,1.0,0.5,0.6333333333333333,0.6333333333333333,17,3,6,control,1,4
0,1.0,1.0,0.6,0.6,0.6,17,3,7,control,0,4
1,2.0,1.0,0.3333333333333333,0.6,0.6,17,3,7,control,0,4
