,agreement,condition_agreement,param_discount_factor,param_exploit_weight,param_w1,param_w2
0,0.6425502232142857,[0.71185417 0.58986742 0.56145833],0.7711714405860942,0.9681524459372626,0.06573094497889309,0.11618462159366427
0,0.5969680059523809,[0.693625   0.52636364 0.46130952],0.9988530753795125,0.09874254408186067,0.9598947748186157,0.05807127673612267
0,0.6428013392857143,[0.71216667 0.5900947  0.56145833],0.7577844068156414,0.8368579874388302,0.35367219433925956,0.03539935770118463
0,0.6430524553571428,[0.71247917 0.59032197 0.56145833],0.553891270947458,0.7435325155292405,0.26491948027144496,0.605919052087642
0,0.6429222470238095,[0.7116875  0.59075758 0.56160714],0.04720030542437903,0.13367967693661942,0.15806157630147744,0.45864124032510967
0,0.6283017113095237,[0.70235417 0.57399621 0.52604167],0.6824822097865423,0.12850798496809612,0.5735576090564776,0.04989505347483647
0,0.6423177083333333,[0.71164583 0.58992424 0.55877976],0.38282768675605905,0.42453146459988234,0.6145924976240484,0.8085481581831936
0,0.6425409226190476,[0.71164583 0.59026515 0.55967262],0.45248497101300045,0.42619861115159474,0.5614245566240398,0.5391822305137025
0,0.6428850446428571,[0.71204167 0.59037879 0.56145833],0.36755327724365705,0.8097046540388229,0.15888168870470598,0.7946844683965055
0,0.6429454985119047,[0.7116875  0.59080492 0.56160714],0.057532337553191426,0.6216654590966485,0.06714123849964615,0.8039665937703323
0,0.6161737351190476,[0.6985625  0.55587121 0.5014881 ],0.9230458495147005,0.6105988303190265,0.2229072079679476,0.7972540631496969
0,0.6418154761904762,[0.71089583 0.58969697 0.5578869 ],0.46209612021010926,0.5738887598806858,0.5833298201182744,0.9545458636090487
0,0.6426060267857143,[0.71191667 0.58992424 0.56145833],0.28476677992289035,0.5945797368842427,0.9924487193325369,0.6489273270796546
0,0.6424665178571428,[0.71191667 0.58964015 0.56145833],0.7067238385855178,0.9945870500648817,0.756869246084343,0.048469629662845404
0,0.5675316220238095,[0.693625   0.47333333 0.40699405],0.9952332876640917,0.15649621732979246,0.32502376375738573,0.6801885639361772
0,0.6332077752976191,[0.70454167 0.58020833 0.54010417],0.7154370454908104,0.535492943993657,0.27859891602112785,0.9939390526452979
0,0.6263578869047618,[0.70133333 0.57189394 0.51875   ],0.9192937714362698,0.44484693613876336,0.578302191476053,0.0050796987131306315
0,0.612393043154762,[0.6970625  0.5502178  0.49613095],0.9326571417554188,0.7758751792428233,0.7470074587367828,0.8005457254238895
0,0.6433035714285714,[0.71241667 0.59089015 0.56145833],0.46192904585911665,0.7230784708182592,0.9658766591522305,0.5509086073106193
0,0.6413039434523811,[0.710375   0.58878788 0.56056548],0.7767282484631636,0.5296518188266155,0.43797569221859844,0.08041908802234599
0,0.6270461309523809,[0.70135417 0.57291667 0.52157738],0.42525557894437205,0.06979195460174936,0.5116535150835513,0.4001471479651494
0,0.6419828869047619,[0.71127083 0.58992424 0.55610119],0.6066305100250668,0.6443249349138683,0.0931335806458079,0.7613018682405771
0,0.6427455357142857,[0.71191667 0.5900947  0.56235119],0.31647331865936457,0.2983717116352159,0.7992112972793833,0.14560193261857957
0,0.6428013392857143,[0.71179167 0.59043561 0.56145833],0.1461857908812786,0.28451040039539144,0.13358483592867532,0.8691975314117653
0,0.6404110863095239,[0.7093125  0.58816288 0.55877976],0.5868459068026841,0.4002684969470136,0.9181457667844972,0.2505690246991198
0,0.5957728794642856,[0.6940625 0.5247822 0.4514881],0.4886088795816299,0.0424685789083159,0.998591063417146,0.650569224819426
0,0.6163225446428572,[0.6989375  0.55583333 0.5014881 ],0.9778661552049509,0.8091440292507714,0.4950963778817069,0.4671969846738311
0,0.6428013392857143,[0.71216667 0.5900947  0.56145833],0.6286914802733065,0.4014640865477689,0.15140634610588766,0.24239063810730554
0,0.5796409970238094,[0.6929375  0.49666667 0.42232143],0.3237909314505193,0.017581516457440882,0.811153256414087,0.993941647308605
0,0.6428292410714286,[0.71204167 0.59026515 0.56145833],0.259531559116023,0.5817058967524499,0.7527715804421878,0.7374064327941149
0,0.6136067708333333,[0.6963125  0.55359848 0.49434524],0.8288428211363373,0.3846733274367492,0.9944369960542041,0.6763010107076862
0,0.6409412202380953,[0.7093125  0.58912879 0.55967262],0.5773656352089315,0.2615072211289665,0.4941777162091945,0.20153382528285002
0,0.6412202380952382,[0.7098125  0.58924242 0.55967262],0.6907836857750129,0.5426012777787104,0.5617939496249286,0.24589747714533428
0,0.5040736607142856,[0.69275    0.35484848 0.32886905],0.903534764670655,0.007913800294462425,0.8566397029006286,0.7900199239693393
0,0.6362211681547619,[0.7085625  0.58263258 0.5405506 ],0.45228553207116473,0.1021852559393891,0.5925060247896197,0.25329754524228654
0,0.6278924851190476,[0.70245833 0.57380682 0.5202381 ],0.8709433348280122,0.6349664264501761,0.9683732977746199,0.11454834188981655
0,0.5621651785714286,[0.69275    0.46582386 0.38638393],0.7264673509157431,0.008665863978962296,0.8747571343192104,0.20376445504340024
0,0.636216517857143,[0.7084375  0.58248106 0.54255952],0.28188102129750237,0.09275946586401296,0.7298790839144134,0.687849101606424
0,0.6426897321428572,[0.71185417 0.59015152 0.56145833],0.331814245303619,0.35508857553655426,0.17272670775433518,0.2408098885905633
0,0.6431733630952381,[0.7116875 0.5913447 0.5610119],0.01949190460733441,0.8014108165806415,0.6614024746235454,0.41451812458378867
0,0.6425874255952381,[0.7116875  0.5900947  0.56145833],0.41742531461888466,0.5369011517151727,0.1832018256022151,0.16664901939474908
0,0.6327101934523809,[0.70416667 0.58092803 0.52916667],0.7107015459614558,0.3017245792479075,0.6832877690400413,0.28987758187072266
