,room,game,condition,first_player,move,agreement
2,6,9,partial_asymmetric,1,2,0.3333333333333333
3,6,9,partial_asymmetric,1,3,0.0
4,6,9,partial_asymmetric,1,4,0.0
5,6,9,partial_asymmetric,1,5,1.0
6,6,9,partial_asymmetric,1,6,1.0
7,6,9,partial_asymmetric,1,7,0.0
8,6,9,partial_asymmetric,1,8,0.0
9,6,9,partial_asymmetric,1,9,0.5
10,6,9,partial_asymmetric,1,10,0.0
11,6,9,partial_asymmetric,1,11,1.0
12,6,9,partial_asymmetric,1,12,1.0
13,6,9,partial_asymmetric,1,13,0.0
14,6,9,partial_asymmetric,1,14,0.0
0,6,2,partial_asymmetric,0,0,0.25
1,6,2,partial_asymmetric,0,1,0.3333333333333333
2,6,2,partial_asymmetric,0,2,0.5
3,6,2,partial_asymmetric,0,3,0.0
4,6,2,partial_asymmetric,0,4,0.0
5,6,2,partial_asymmetric,0,5,0.0
6,6,2,partial_asymmetric,0,6,0.0
7,6,2,partial_asymmetric,0,7,0.0
8,6,2,partial_asymmetric,0,8,0.0
9,6,2,partial_asymmetric,0,9,0.0
10,6,2,partial_asymmetric,0,10,0.0
11,6,2,partial_asymmetric,0,11,1.0
12,6,2,partial_asymmetric,0,12,0.0
13,6,2,partial_asymmetric,0,13,1.0
14,6,2,partial_asymmetric,0,14,1.0
0,6,12,partial_asymmetric,0,0,0.25
1,6,12,partial_asymmetric,0,1,0.0
2,6,12,partial_asymmetric,0,2,0.5
3,6,12,partial_asymmetric,0,3,1.0
4,6,12,partial_asymmetric,0,4,0.0
5,6,12,partial_asymmetric,0,5,0.0
6,6,12,partial_asymmetric,0,6,1.0
7,6,12,partial_asymmetric,0,7,0.0
8,6,12,partial_asymmetric,0,8,1.0
9,6,12,partial_asymmetric,0,9,1.0
10,6,12,partial_asymmetric,0,10,1.0
11,6,12,partial_asymmetric,0,11,0.0
12,6,12,partial_asymmetric,0,12,0.0
13,6,12,partial_asymmetric,0,13,0.0
14,6,12,partial_asymmetric,0,14,0.5
0,6,19,partial_asymmetric,1,0,0.25
1,6,19,partial_asymmetric,1,1,0.3333333333333333
2,6,19,partial_asymmetric,1,2,0.0
3,6,19,partial_asymmetric,1,3,0.0
4,6,19,partial_asymmetric,1,4,0.0
5,6,19,partial_asymmetric,1,5,1.0
6,6,19,partial_asymmetric,1,6,1.0
7,6,19,partial_asymmetric,1,7,1.0
8,6,19,partial_asymmetric,1,8,0.0
9,6,19,partial_asymmetric,1,9,1.0
10,6,19,partial_asymmetric,1,10,0.0
11,6,19,partial_asymmetric,1,11,1.0
12,6,19,partial_asymmetric,1,12,0.0
13,6,19,partial_asymmetric,1,13,1.0
14,6,19,partial_asymmetric,1,14,0.5
0,6,6,partial_asymmetric,0,0,0.25
1,6,6,partial_asymmetric,0,1,0.3333333333333333
2,6,6,partial_asymmetric,0,2,1.0
3,6,6,partial_asymmetric,0,3,0.0
4,6,6,partial_asymmetric,0,4,1.0
5,6,6,partial_asymmetric,0,5,0.0
6,6,6,partial_asymmetric,0,6,1.0
7,6,6,partial_asymmetric,0,7,0.0
8,6,6,partial_asymmetric,0,8,1.0
9,6,6,partial_asymmetric,0,9,0.0
10,6,6,partial_asymmetric,0,10,1.0
11,6,6,partial_asymmetric,0,11,0.0
12,6,6,partial_asymmetric,0,12,1.0
13,6,6,partial_asymmetric,0,13,0.0
14,6,6,partial_asymmetric,0,14,1.0
0,6,11,partial_asymmetric,1,0,0.25
1,6,11,partial_asymmetric,1,1,0.0
2,6,11,partial_asymmetric,1,2,0.0
3,6,11,partial_asymmetric,1,3,0.5
